'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1042020,207.84,28.53,517.87,1040119,4.86,0.57,10,1040119,180000,174745190.4,5774.82,975175.68
1029770,210.01,27.69,504.8,1029167,4.81,0.62,10,1029167,180000,172899696.6,5714.03,964689.92
1037767,208.29,25.98,483.06,1037604,4.84,0.57,10,1037604,180000,174315274.2,5760.89,964689.92
1042012,207.43,23.78,392.14,1042012,4.86,0.54,10,1042012,180000,175059763.2,5785.55,975175.68
1033474,209.14,26.44,447.55,1033283,4.83,0.6,10,1033283,180000,173591756.8,5736.9,964689.92
1027279,210.42,25.49,433.96,1027238,4.8,0.63,10,1027238,180000,172574638.1,5703.34,954204.16
1026177,210.87,29.02,526.66,1025117,4.8,0.64,10,1025117,180000,172218122.2,5691.77,954204.16
1034679,208.9,22.56,427,1034654,4.82,0.59,10,1034654,180000,173822443.5,5744.48,964689.92
1037475,208.44,24.82,508.54,1036917,4.84,0.57,10,1036917,180000,174199930.9,5757.06,964689.92
1038591,208.11,19.01,414.46,1038591,4.84,0.56,10,1038591,180000,174483046.4,5766.38,964689.92
,,,,,,,,,,,,
,,,,,,,,,,,5750.77,964689.92
