'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1028496,525.46,74.54,1020,1028496,1.78,0.42,2,1028496,180000,172784353.3,5708.63,954204.16
1035429,522.17,76.16,1020,1035429,1.81,0.4,2,1035429,180000,173948272.6,5747.18,964689.92
1026638,526.68,76.31,1010,1026638,1.76,0.43,2,1026638,180000,172480266.2,5698.66,954204.16
1030366,524.7,73.9,1020,1030366,1.78,0.42,2,1030366,180000,173098926.1,5719.14,964689.92
1023942,530.53,94.88,1690,1020397,1.77,0.45,2,1020397,180000,171431690.2,5663.7,954204.16
1015309,539.3,144.36,3690,1005342,1.77,0.46,2,1005342,180000,168894136.3,5580.47,933232.64
1031707,524.03,74.01,988.48,1031707,1.79,0.41,2,1031707,180000,173329612.8,5726.39,964689.92
1020716,546.15,194.05,3950,1006670,1.78,0.45,2,1006670,180000,169124823,5587.81,943718.4
1031840,530.28,122.73,2830,1025727,1.8,0.43,2,1025727,180000,172322979.8,5693.53,954204.16
1033853,529.47,115.47,2670,1026633,1.79,0.43,2,1026633,180000,172469780.5,5698.36,954204.16
,,,,,,,,,,,,
,,,,,,,,,,,5698.51,954204.16
