'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
4558,50860,31490,87000,4558,0.37,0.75,2,66623,180600,642682.88,369.67,52131.84
34621,18960,25160,91200,27278,1.34,0.88,2,66713,180600,3848273.92,369.93,52162.56
24975,17580,21100,82800,22634,1.05,0.96,2,66703,180600,3187671.04,369.94,52162.56
13793,22850,16730,72000,13793,0.42,0.79,2,66745,180600,1939865.6,370.11,52183.04
10642,36190,29770,102600,10642,0.41,0.79,2,66651,180000,1499463.68,369.79,52142.08
23024,17900,20640,84600,21162,0.95,0.96,2,66739,180600,2988441.6,370.1,52193.28
13077,26230,15740,66000,13077,0.3,0.69,2,66640,180600,1845493.76,369.63,52111.36
20580,21910,24580,94200,18611,0.86,0.95,2,66603,180000,2621440,369.43,52090.88
15091,22420,12210,56400,15091,0.27,0.66,2,66746,180000,2128609.28,370.15,52193.28
15674,19830,16660,62400,15674,0.57,0.87,2,66752,180600,2212495.36,370.24,52213.76
,,,,,,,,,,,,
,,,,,,,,,,,369.935,52162.56
