'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
235927,340.52,337.48,1580,142891,8.05,8.26,20,716533,180000,27776778.24,3978.49,560967.68
208267,273.14,195.4,1250,163041,6.19,7.1,20,716370,180000,28647096.32,3977.62,560834.56
169003,319.84,164.21,723.2,146059,4.32,5.43,20,716697,180000,23802675.2,3979.4,561100.8
179353,302.91,143.03,860.3,157882,4.33,5.31,20,716703,180000,25176309.76,3979.43,561100.8
187234,351.55,275.36,1350,137666,5.46,6.72,20,716592,180000,23823646.72,3978.8,561008.64
173069,311.73,130,535.53,156088,3.95,4.82,20,716987,180000,24400363.52,3980.99,561326.08
275075,274.88,217.65,1120,144638,8.45,8.67,20,716753,180000,28668067.84,3979.72,561141.76
169365,319.13,140.07,677.3,152075,4.01,5.06,20,716844,180000,23865589.76,3980.2,561203.2
261793,456.44,550.07,2350,133301,9.92,8.83,20,713347,180000,27650949.12,3960.78,558469.12
178744,301.73,134.61,726.87,159026,4.15,4.91,20,716672,180000,25197281.28,3979.24,561080.32
,,,,,,,,,,,,
,,,,,,,,,,,3979.32,561090.56
