'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
45322,2370,104.49,3930,45322,0,0,0,453638,180000,7570718.72,2518.78,42024.96
45326,2370,86.17,3710,45326,0,0,0,453724,180000,7570718.72,2519.21,42024.96
45508,2360,74.42,3720,45508,0,0,0,454104,180000,7602176,2521.36,42199.04
45389,2370,97.42,3920,45389,0,0,0,453745,180000,7581204.48,2519.33,42086.4
45255,2370,125.59,4070,45255,0,0,0,453602,180000,7560232.96,2518.54,41963.52
45367,2370,93.52,3850,45367,0,0,0,453207,180000,7581204.48,2516.37,42065.92
45326,2370,97.84,3760,45326,0,0,0,453657,180000,7570718.72,2518.84,42024.96
45270,2370,87.72,3550,45270,0,0,0,453409,180000,7560232.96,2517.47,41973.76
45430,2370,95.03,3930,45430,0,0,0,453803,180000,7591690.24,2519.65,42127.36
45476,2370,87.8,3910,45476,0,0,0,453792,180000,7591690.24,2519.6,42168.32
,,,,,,,,,,,,
,,,,,,,,,,,2519.025,42045.44
