'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
706343,8520,1890,20380,705342,0,0,0,705342,185400,118499573.8,3801.71,638689.28
710285,8500,1830,19820,709676,0,0,0,709676,184800,119223091.2,3845.47,646041.6
729801,8260,1790,20870,728027,0,0,0,728027,184200,122305904.6,3957.49,664862.72
721766,8350,1950,22570,719331,0,0,0,719331,183600,120848384,3912.79,657346.56
703632,8520,1800,19590,703310,0,0,0,703310,184200,118153543.7,3816.15,641116.16
714985,8490,1790,20860,714387,0,0,0,714387,183600,120020009,3885.65,652789.76
709189,8540,1790,20380,708563,0,0,0,708563,183600,119034347.5,3853.63,647413.76
730653,8330,1820,23980,727664,0,0,0,727664,184200,122242990.1,3953.26,664145.92
711555,8490,1770,21080,710871,0,0,0,710871,184200,119422320.6,3865.48,649400.32
744821,8090,1680,17250,744788,0,0,0,744788,184200,125126574.1,4049.11,680253.44
704450,8560,1780,20250,703658,0,0,0,703658,184200,118216458.2,3825.19,642631.68
713453,8410,1790,22540,712046,0,0,0,712046,184800,119621550.1,3859.19,648345.6
702540,8570,1750,20320,701986,0,0,0,701986,184200,117933342.7,3816.28,641136.64
658540,14650,14140,64200,549618,0,0,0,549618,184800,92337602.56,2978.65,500408.32
709203,8500,1880,20910,708226,0,0,0,708226,184800,118981918.7,3833.7,644065.28
746767,8060,1520,17360,746694,0,0,0,746694,184800,125441146.9,4037.24,678256.64
723141,8360,1860,21130,720999,0,0,0,720999,184200,121131499.5,3916.03,657889.28
690959,8730,1770,19980,690681,0,0,0,690681,185400,116035420.2,3729.88,626616.32
717790,8440,1730,20160,717045,0,0,0,717045,184800,120460410.9,3878.3,651550.72
739379,8140,1660,17800,739280,0,0,0,739280,185400,124203827.2,3992.01,670658.56
,,,,,,,,,,,,
,,,,,,,,711458.5,184200,119521935.4,3862.335,648872.96
