'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
134047,20120,16020,91200,133958,0.68,0.91,10,267890,186000,18905825.28,1425.56,201011.2
55026,21840,15350,61200,55013,0.56,0.87,10,244534,187200,7759462.4,1297.43,182927.36
60493,19770,15830,71400,60479,0.66,0.91,10,248750,186600,8524922.88,1321.35,186306.56
59005,20220,17330,67200,58989,0.71,0.94,10,245527,188400,8315207.68,1304.84,183982.08
61589,20170,15880,55800,61605,0.66,0.91,10,244509,189600,8682209.28,1296.52,182814.72
57139,20830,14380,68400,57126,0.54,0.86,10,245538,187200,8053063.68,1302.64,183674.88
51842,21470,14920,69000,51831,0.54,0.86,10,240789,187800,7308574.72,1271.92,179333.12
63916,19180,16710,64800,63899,0.74,0.93,10,266517,187200,9007267.84,1413.82,199352.32
54782,21140,14810,63600,54774,0.56,0.87,10,257833,187800,7728005.12,1368.72,192993.28
65498,18680,16760,78000,65495,0.79,0.95,10,244881,190200,9237954.56,1299.14,183183.36
17049,22580,13680,52200,17070,0.41,0.8,9,253495,188400,2411724.8,1354.99,191047.68
59672,21000,15960,63000,59665,0.61,0.91,10,251676,188400,8409579.52,1332.57,187893.76
69810,18160,18150,102600,69783,0.87,0.96,10,257862,189600,9846128.64,1366.15,192634.88
57227,21270,16510,72600,57215,0.63,0.9,10,240453,187800,8074035.2,1283.3,180951.04
56041,20300,15150,55200,56039,0.62,0.89,9,239868,187800,7906263.04,1276.19,179947.52
75189,18170,16040,69600,75203,0.76,0.95,10,249152,189600,10601103.36,1312.98,185128.96
59786,21030,16610,79200,59766,0.64,0.91,10,243472,188400,8430551.04,1292.11,182179.84
59006,19940,16060,77400,58992,0.65,0.91,10,253323,187200,8315207.68,1346.85,189911.04
62323,20250,14170,61200,62322,0.57,0.87,10,250182,190200,8787066.88,1328.67,187340.8
68567,18850,16130,69000,68578,0.76,0.94,10,248842,190200,9667870.72,1319.76,186091.52
,,,,,,,,,,,,
,,,,,,,,248796,188100,8420065.28,1316.37,185610.24
