'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
122281,10370,4610,22040,122256,0.61,1.49,10,575265,187800,17238589.44,3066.32,432353.28
153097,9700,5350,21470,153021,0.88,1.72,10,572663,189000,21590179.84,3028.03,426946.56
130227,10720,4740,21860,130217,0.55,1.42,10,544206,190200,18360565.76,2860.73,403363.84
138715,9900,5620,21610,138643,0.93,1.75,10,615665,189000,19555942.4,3255.99,459079.68
125941,10050,5090,20360,125901,0.78,1.64,10,567312,189000,17762877.44,2995.9,422420.48
131427,10370,4090,19130,131401,0.5,1.37,10,539545,186000,18528337.92,2867.82,404357.12
138473,10030,4690,23570,138474,0.63,1.5,10,590984,190200,19524485.12,3128.92,441180.16
133999,10180,6360,30070,133939,0.93,1.74,10,549469,188400,18895339.52,2905.81,409722.88
140913,10110,5120,23940,140875,0.73,1.59,10,554046,187200,19870515.2,2927.77,412815.36
159496,10040,5240,24340,159477,0.75,1.61,10,603660,187800,22491955.2,3190.52,449853.44
131746,10110,5150,22730,131731,0.77,1.62,10,533600,187800,18580766.72,2830.87,399155.2
150782,9770,6020,28060,150772,0.88,1.71,10,591720,190200,21265121.28,3123.47,440412.16
165531,9520,6310,46480,165433,1.14,1.87,10,587570,190200,23341301.76,3102.23,437411.84
140311,11050,4220,20510,140293,0.46,1.32,10,621770,187800,19786629.12,3298.71,465111.04
137802,9990,5540,21050,137762,0.85,1.69,10,541212,190200,19430113.28,2850.06,401848.32
168794,9160,5650,20230,168775,1.04,1.82,10,555647,190200,23802675.2,2943.6,415047.68
133991,10610,4170,19630,133958,0.48,1.34,10,534877,188400,18895339.52,2833.11,399462.4
132773,10360,5300,23080,132723,0.71,1.57,10,542994,189000,18717081.6,2881.53,406302.72
146427,9590,5370,20180,146370,0.92,1.74,10,602608,187200,20646461.44,3194.79,450467.84
138602,10630,4470,22130,138563,0.53,1.4,10,595631,186600,19545456.64,3157.92,445265.92
,,,,,,,,,,,,
,,,,,,,,569987.5,188700,19534970.88,3011.965,424683.52
