'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
16560,136800,14610,172800,89300,0,0,0,89300,187800,2768240.64,477.86,14735.36
12290,134400,15480,172200,88957,0,0,0,88957,186600,2055208.96,475.26,10987.52
12852,135600,16650,180000,89294,0,0,0,89294,188400,2149580.8,478.02,11397.12
17924,138600,14470,171000,89096,0,0,0,89096,187800,2988441.6,477.57,15933.44
11621,134400,15830,170400,89607,0,0,0,89607,187200,1939865.6,479.82,10383.36
12019,135600,16910,174000,90171,0,0,0,90171,187200,2002780.16,481.56,10711.04
14839,136800,15080,172800,89814,0,0,0,89814,187800,2474639.36,480.63,13189.12
13650,135000,15100,172800,88461,0,0,0,88461,187800,2275409.92,473.2,12124.16
13325,135600,15550,175200,89031,0,0,0,89031,185400,2222981.12,477.13,12011.52
10927,134400,16740,174600,89598,0,0,0,89598,185400,1824522.24,477.91,9840.64
12703,135000,15480,172200,87707,0,0,0,87707,187800,2118123.52,470,11304.96
14865,138000,15770,175800,88826,0,0,0,88826,187800,2485125.12,474.99,13209.6
11518,135600,16680,175200,91252,0,0,0,91252,186600,1918894.08,489.24,10291.2
11374,135000,16650,174000,85954,0,0,0,85954,185400,1897922.56,460.03,10229.76
12493,135600,16250,176400,89531,0,0,0,89531,187200,2086666.24,479.85,11151.36
13365,136800,16400,178200,90187,0,0,0,90187,188400,2233466.88,481.99,11847.68
12606,135600,15990,174000,88719,0,0,0,88719,188400,2107637.76,475.14,11182.08
17587,138600,14260,171600,90331,0,0,0,90331,187200,2936012.8,484.3,15667.2
13765,137400,16420,178800,89125,0,0,0,89125,188400,2296381.44,475.98,12206.08
11817,135600,16350,172800,89747,0,0,0,89747,187200,1971322.88,480.29,10526.72
,,,,,,,,,,,,
,,,,,,,,89297,187500,2133852.16,477.885,11351.04
,,,,,,,,,,,477.5385,
,,,,,,,,,,,5.844547864,
,,,,,,,,,,,0.012238904,
