'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
62000,32180,3620,38940,442925,0,0,0,442925,187200,10349445.12,2366.9,55367.68
63837,31260,4580,38730,441146,0,0,0,441146,187800,10664017.92,2363.09,56780.8
49677,33710,2140,37980,454799,0,0,0,454799,184800,8294236.16,2437.98,44861.44
106228,29680,6540,39010,462698,0,0,0,462698,187200,17741905.92,2480.42,94658.56
61936,31620,4050,37960,445239,0,0,0,445239,188400,10338959.36,2379.67,54978.56
63589,32040,3820,38930,451286,0,0,0,451286,188400,10622074.88,2416,56360.96
56411,32060,3580,38500,444384,0,0,0,444384,186600,9416212.48,2375.17,50483.2
65933,31410,4490,38190,446354,0,0,0,446354,187200,11010048,2392.1,58757.12
61540,31900,4080,38290,449164,0,0,0,449164,186600,10276044.8,2403.79,55091.2
61732,30760,5020,38100,437831,0,0,0,437831,185400,10307502.08,2349.97,55674.88
73099,31830,3880,38260,441645,0,0,0,441645,186600,12205424.64,2363.95,65372.16
63672,31370,4380,38500,437988,0,0,0,437988,187800,10632560.64,2341.25,56576
62183,32340,3460,38450,442050,0,0,0,442050,186600,10380902.4,2364.98,55572.48
63266,31670,4240,38260,443275,0,0,0,443275,186600,10569646.08,2366.78,56565.76
58536,33380,2550,37870,450596,0,0,0,450596,186600,9772728.32,2412.64,52367.36
63742,30600,5580,38930,446631,0,0,0,446631,186600,10643046.4,2394.04,57108.48
65431,30340,5570,38790,438091,0,0,0,438091,188400,10926161.92,2341.07,58060.8
61476,32840,3220,38550,443055,0,0,0,443055,189000,10265559.04,2375.01,54394.88
62434,32070,3800,39420,439356,0,0,0,439356,188400,10422845.44,2345.21,55408.64
54046,33400,2400,38510,448792,0,0,0,448792,185400,9028239.36,2405.29,48640
,,,,,,,,,,,,
,,,,,,,,443829.5,186900,10401873.92,2375.09,55623.68
,,,,,,,,,,,2383.7655,
,,,,,,,,,,,35.06823881,
,,,,,,,,,,,0.014711279,
