'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
0,0,0,0,503,0,0,0,13679,184800,83998.72,73.74,454.81
0,0,0,0,601,0,0,0,13584,186000,100362.24,73.11,539.52
0,0,0,0,640,0,0,0,14373,189600,106885.12,77.12,562.88
0,0,0,0,693,0,0,0,14450,184800,115732.48,77.79,625.27
0,0,0,0,648,0,0,0,14202,186000,108216.32,76.45,581.41
0,0,0,0,1299,0,0,0,24008,717600,216934.4,118.17,302.37
0,0,0,0,781,0,0,0,14475,185400,130426.88,77.93,704.17
0,0,0,0,563,0,0,0,13635,186000,94023.68,73.44,505.94
0,0,0,0,563,0,0,0,13783,186600,94023.68,74.29,504.61
0,0,0,0,711,0,0,0,16345,185400,118732.8,88.08,640.74
0,0,0,0,606,0,0,0,13176,205800,101201.92,70.44,491.05
0,0,0,0,719,0,0,0,14422,184800,120074.24,77.67,649.23
0,0,0,0,582,0,0,0,13768,188400,97198.08,73.88,516.29
0,0,0,0,697,0,0,0,14538,185400,116398.08,78.06,627.91
0,0,0,0,624,0,0,0,14255,185400,104212.48,76.73,562.07
0,0,0,0,536,0,0,0,14234,184800,89507.84,76.69,484.14
0,0,0,0,734,0,0,0,14382,186000,122583.04,77.42,658.69
0,0,0,0,814,0,0,0,14734,185400,135936,79.38,732.3
0,0,0,0,573,0,0,0,14484,186000,95692.8,77.93,514.18
0,0,0,0,673,0,0,0,14208,184800,112394.24,76.68,607.33
,,,,,,,,,,,,
,,,,,,,,14314,185700,107550.72,76.925,562.475
,,,,,,,,,,,76.67526316,
,,,,,,,,,,,3.57198726,
,,,,,,,,,,,0.046585915,
