'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1042,140400,24720,178200,3088,0,0,0,42493,204000,515696.64,225.6,2529.28
1014,142200,24700,179400,2793,0,0,0,38561,185400,466432,207.56,2519.04
936,141600,24220,178800,2950,0,0,0,39682,184800,492646.4,213.27,2662.4
1035,140400,24530,179400,3143,0,0,0,40463,185400,524881.92,217.93,2826.24
1007,139800,23980,178200,2387,0,0,0,36398,186600,398632.96,195.56,2140.16
962,141000,24430,178200,2682,0,0,0,38125,184200,447897.6,205.41,2426.88
965,140400,24220,178200,2536,0,0,0,37032,184800,423516.16,199.47,2293.76
1008,142200,24000,179400,2846,0,0,0,38774,190200,475279.36,208.07,2498.56
1005,139800,24040,178200,2839,0,0,0,38668,187800,474112,208.19,2519.04
1082,141000,24650,179400,2701,0,0,0,38174,184800,451072,205.55,2437.12
1046,142200,23880,178800,2592,0,0,0,37127,184800,432865.28,199.76,2344.96
976,143400,23680,178200,3093,0,0,0,41326,186000,516526.08,222.44,2775.04
1057,138600,24140,178800,2592,0,0,0,37109,185400,432865.28,199.6,2334.72
975,140400,23360,178800,2808,0,0,0,38245,185400,468940.8,205.85,2529.28
926,140400,23450,178200,2585,0,0,0,37860,186600,431697.92,203.75,2314.24
1033,141000,25730,180000,2569,0,0,0,37965,184200,429025.28,204.25,2324.48
894,139800,24370,178200,2466,0,0,0,38813,185400,411822.08,208.79,2222.08
1047,141600,24760,179400,2821,0,0,0,40175,212400,471111.68,212.12,2211.84
1015,142800,23570,179400,2418,0,0,0,37058,184800,403804.16,199.89,2181.12
1014,141600,24140,179400,2944,0,0,0,39527,186000,491642.88,212.81,2641.92
,,,,,,,,,,,,
,,,,,,,,38403,185400,458752,206.705,2432
,,,,,,,,,,,207.7935,
,,,,,,,,,,,7.833699318,
,,,,,,,,,,,0.037699444,
